state	account_length	area_code	phone_number	international_plan	voice_mail_plan	number_vmail_messages	total_day_minutes	total_day_calls	total_day_charge	total_eve_minutes	total_eve_calls	total_eve_charge	total_night_minutes	total_night_calls	total_night_charge	total_intl_minutes	total_intl_calls	total_intl_charge	number_customer_service_calls	class
MA	127	408	371-9457	1	0	0	176.9	110	30.07	167.9	100	14.27	182.2	138	8.2	7.7	2	2.08	1	1
OR	80	415	391-8087	0	0	0	161.1	99	27.39	198.8	81	16.9	228.4	116	10.28	10.6	4	2.86	1	0
ND	135	510	378-4013	1	1	24	127.7	54	21.71	215	105	18.28	234.3	84	10.54	5.8	4	1.57	2	0
LA	115	415	386-6306	0	1	26	170.5	107	28.99	217.2	77	18.46	225.7	71	10.16	13.6	5	3.67	6	0
ND	167	408	359-3618	1	0	0	219.1	100	37.25	242.9	90	20.65	168.9	101	7.6	10.1	4	2.73	2	0
WV	112	415	330-2693	1	0	0	161.9	138	27.52	200.9	114	17.08	134	134	6.03	10.7	4	2.89	1	0
KS	103	408	342-3678	1	0	0	62.8	124	10.68	170.4	66	14.48	280.2	78	12.61	9.4	4	2.54	3	0
MO	107	415	344-9943	0	1	22	281.1	83	47.79	143.7	130	12.21	239.4	128	10.77	11.2	9	3.02	1	0
PA	69	415	390-5686	0	0	0	228.2	70	38.79	263.7	80	22.41	142.6	60	6.42	10.7	5	2.89	3	0
SD	85	408	358-5826	0	0	0	209.8	82	35.67	194.5	94	16.53	200.4	85	9.02	11.3	3	3.05	0	0
NJ	24	408	393-7826	0	0	0	265.6	86	45.15	208.8	102	17.75	182.5	105	8.21	11.1	6	3	2	1
AL	90	415	335-9786	0	0	0	214.9	97	36.53	117.8	117	10.01	133.7	78	6.02	11.8	2	3.19	2	0
ME	137	510	368-9860	0	0	0	110.5	79	18.79	223.2	111	18.97	169.5	64	7.63	10.5	3	2.84	3	0
AZ	92	415	416-9522	1	1	45	281.1	88	47.79	198	103	16.83	94.3	76	4.24	7.5	3	2.03	0	0
VT	38	415	416-7307	0	0	0	137.8	86	23.43	286.3	76	24.34	167	77	7.52	14.1	3	3.81	2	0
NV	69	510	397-6789	1	1	33	271.5	98	46.16	253.4	102	21.54	165.4	85	7.44	8.2	2	2.21	1	1
WI	45	408	335-9501	0	0	0	112.8	108	19.18	218.8	120	18.6	240.2	106	10.81	9	3	2.43	2	0
HI	73	408	388-1250	0	0	0	187.3	118	31.84	239.7	90	20.37	167.5	108	7.54	15.1	2	4.08	1	0
AZ	100	415	331-9861	0	1	26	153.7	115	26.13	137.8	146	11.71	213.5	104	9.61	15.9	5	4.29	1	0
MN	96	415	330-2881	0	1	27	261.3	96	44.42	220.9	101	18.78	179.4	97	8.07	11.3	2	3.05	1	0
ME	108	510	402-9558	0	0	0	246.2	102	41.85	202.4	134	17.2	180.1	95	8.1	9.4	5	2.54	1	0
WV	137	408	330-3589	0	0	0	174.4	120	29.65	156.3	98	13.29	136.5	121	6.14	10.2	5	2.75	0	0
GA	56	415	417-1477	0	1	30	127.1	89	21.61	172.1	116	14.63	194.6	111	8.76	12.1	3	3.27	1	0
OH	61	510	327-5525	1	1	16	143.5	76	24.4	242.6	58	20.62	147.7	95	6.65	11.3	3	3.05	0	0
DE	171	510	363-8244	0	1	17	186.9	94	31.77	240	138	20.4	200.9	64	9.04	5.8	3	1.57	1	0
AK	156	510	341-4075	0	0	0	123.7	96	21.03	103	80	8.76	189.4	82	8.52	13.1	4	3.54	1	0
WI	166	510	366-9074	0	0	0	173.9	103	29.56	276.4	83	23.49	190.8	113	8.59	15.3	5	4.13	0	0
OH	83	510	342-9480	0	0	0	227.9	78	38.74	207.5	115	17.64	211.7	100	9.53	12.1	5	3.27	1	0
NM	153	408	343-1538	0	0	0	185.3	127	31.5	208	73	17.68	206.1	124	9.27	15.1	3	4.08	1	0
WV	92	510	335-7257	0	1	16	184	99	31.28	76.4	134	6.49	185.1	96	8.33	12.7	3	3.43	2	0
MN	80	415	332-2137	0	0	0	105.8	110	17.99	43.9	88	3.73	189.6	87	8.53	13.1	5	3.54	0	0
AL	134	415	352-2998	0	0	0	178	110	30.26	153.8	64	13.07	236.6	105	10.65	11.7	4	3.16	1	0
MO	74	415	421-2955	0	0	0	172.1	105	29.26	211.7	99	17.99	182.2	105	8.2	11.6	6	3.13	1	0
HI	64	415	414-6638	0	0	0	194.2	147	33.01	173.4	87	14.74	268.7	114	12.09	5.5	2	1.49	2	0
ME	120	510	350-5883	0	0	0	198.8	56	33.8	230.1	73	19.56	119.8	81	5.39	9.9	3	2.67	2	0
NH	88	415	376-4856	0	0	0	202.2	86	34.37	216.8	93	18.43	239.4	99	10.77	11.8	2	3.19	2	0
SC	87	408	335-1874	0	0	0	322.5	106	54.83	204.6	93	17.39	186.2	128	8.38	9.4	4	2.54	2	1
IN	100	510	397-6255	0	0	0	216.2	107	36.75	215.6	84	18.33	138.4	127	6.23	10.2	3	2.75	0	0
FL	104	415	381-5047	0	0	0	76.4	116	12.99	115.6	74	9.83	226.3	94	10.18	9.4	3	2.54	3	0
IL	81	415	375-3658	0	1	31	210.4	100	35.77	225.5	97	19.17	168.7	120	7.59	9.7	4	2.62	0	0
NC	64	510	341-2603	1	1	33	127.2	93	21.62	162.9	104	13.85	247.4	109	11.13	8.1	13	2.19	0	0
VT	107	510	342-5062	0	1	28	201.8	79	34.31	304.9	128	25.92	225.6	133	10.15	11.9	8	3.21	1	0
ND	146	408	393-9918	0	1	19	176.6	88	30.02	162.7	66	13.83	215.5	98	9.7	14.6	6	3.94	1	0
ND	70	415	343-2392	0	1	31	125.9	101	21.4	196.4	102	16.69	252.7	75	11.37	10.3	4	2.78	1	0
ME	149	408	408-4323	0	0	0	237.6	79	40.39	192.4	107	16.35	207.4	111	9.33	9.1	9	2.46	0	0
WA	166	408	354-9492	0	0	0	274.3	110	46.63	52.9	109	4.5	246.1	119	11.07	10.9	5	2.94	0	0
MA	136	408	367-8168	1	0	0	199.6	89	33.93	211.4	96	17.97	72.4	84	3.26	11	4	2.97	3	1
KS	149	510	340-3500	0	0	0	217.7	91	37.01	273.5	74	23.25	226.9	99	10.21	9.6	3	2.59	3	0
RI	70	415	369-4962	0	0	0	134.7	96	22.9	235.9	90	20.05	260.2	113	11.71	7.6	6	2.05	3	0
MO	120	415	334-8967	0	1	24	212.7	73	36.16	257.5	103	21.89	227.8	119	10.25	9.7	13	2.62	2	0
IA	66	510	402-2377	0	0	0	256.3	135	43.57	180.2	106	15.32	187.3	135	8.43	6.2	7	1.67	2	0
WY	104	408	366-3917	0	0	0	183.6	133	31.21	120.7	98	10.26	215.1	112	9.68	12.7	2	3.43	1	0
NV	160	415	333-3531	0	0	0	176.2	90	29.95	196	115	16.66	263.9	95	11.88	9.2	4	2.48	1	0
WI	129	415	333-8954	0	1	37	205	94	34.85	165.4	103	14.06	185	81	8.32	11.7	8	3.16	1	0
AL	93	408	374-9203	0	0	0	267.9	114	45.54	223	74	18.96	262.7	90	11.82	11.3	3	3.05	3	1
HI	169	415	334-3289	0	0	0	179.2	111	30.46	175.2	130	14.89	228.6	92	10.29	9.9	6	2.67	2	0
MO	58	415	353-7822	0	0	0	149.4	145	25.4	196.5	105	16.7	209.5	108	9.43	14.9	3	4.02	1	0
CA	75	510	350-1422	0	1	38	163.6	132	27.81	146.7	113	12.47	345.8	115	15.56	13.1	3	3.54	3	0
MO	45	408	385-8406	0	0	0	207.6	71	35.29	152.7	94	12.98	217.8	125	9.8	12.4	13	3.35	1	0
MD	52	415	352-1798	0	0	0	209.8	114	35.67	171.3	82	14.56	154.6	119	6.96	9.9	9	2.67	4	0
MD	42	408	337-7163	0	0	0	196.5	89	33.41	241.3	123	20.51	143.2	105	6.44	4	7	1.08	0	0
OH	123	408	420-9575	0	0	0	105	150	17.85	251.6	90	21.39	258	93	11.61	14.9	5	4.02	0	0
MA	98	510	366-3358	0	0	0	271.4	119	46.14	190.4	102	16.18	284.7	118	12.81	11.1	6	3	4	1
HI	132	415	405-3335	0	1	15	154.6	128	26.28	245.6	106	20.88	148.6	90	6.69	9.1	4	2.46	1	0
WI	62	415	383-6373	0	0	0	281	66	47.77	160.6	108	13.65	77.9	74	3.51	0	0	0	1	0
ID	122	510	382-7993	0	1	33	270.8	96	46.04	220.4	110	18.73	169.9	104	7.65	11.8	8	3.19	4	0
WY	32	408	422-5865	0	0	0	171.2	82	29.1	185.6	102	15.78	203.3	64	9.15	10.2	7	2.75	1	0
WY	42	408	357-7060	0	0	0	146.3	84	24.87	255.9	113	21.75	45	117	2.03	8	12	2.16	1	0
DE	73	415	355-9541	0	0	0	254.8	85	43.32	143.4	80	12.19	153.9	102	6.93	15	7	4.05	2	0
DC	103	510	386-2317	0	1	31	107.7	124	18.31	188.9	104	16.06	196.2	98	8.83	8.9	3	2.4	0	0
VT	124	415	416-5623	0	0	0	178.4	72	30.33	233.6	134	19.86	179.4	91	8.07	12	2	3.24	0	0
LA	109	415	395-6195	0	1	27	166.9	85	28.37	221.2	92	18.8	197.3	97	8.88	12.3	4	3.32	1	1
MD	106	415	343-2350	0	0	0	165.3	118	28.1	210	101	17.85	187.2	93	8.42	8.5	3	2.3	2	0
VT	125	415	372-4722	0	0	0	126.7	113	21.54	155.5	131	13.22	206.2	112	9.28	14.4	7	3.89	2	0
DC	108	408	399-8615	0	1	35	215.9	106	36.7	200.6	107	17.05	195.4	107	8.79	15.5	7	4.19	0	0
WY	125	415	379-8248	0	0	0	140.1	132	23.82	209.6	126	17.82	264.1	77	11.88	8	2	2.16	1	0
VA	89	415	414-6219	0	1	32	209.9	113	35.68	249.8	104	21.23	224.2	92	10.09	8.7	7	2.35	1	0
VA	72	510	387-1343	1	1	29	139.8	114	23.77	138.2	91	11.75	221	88	9.95	5.5	6	1.49	0	0
CT	23	510	370-5527	0	0	0	321.6	107	54.67	251.6	115	21.39	141.1	158	6.35	11.3	3	3.05	2	1
HI	149	510	393-8736	0	0	0	166.6	61	28.32	218.8	107	18.6	208.3	131	9.37	8.2	6	2.21	7	0
MD	61	415	370-2688	0	0	0	260	123	44.2	210.5	127	17.89	234.7	70	10.56	9	3	2.43	1	1
UT	118	415	355-3602	0	1	24	118.1	83	20.08	109.6	72	9.32	245.5	73	11.05	16.9	2	4.56	1	0
CO	23	408	393-4027	0	0	0	190.2	89	32.33	166.4	108	14.14	219.8	73	9.89	15	4	4.05	6	0
NC	127	415	418-5141	0	1	25	82.2	95	13.97	163.3	109	13.88	264.9	104	11.92	5.1	6	1.38	0	0
AR	118	415	402-3892	0	0	0	267.8	145	45.53	316.4	121	26.89	208.6	91	9.39	14.4	11	3.89	5	1
IA	45	510	332-2965	0	0	0	159.8	91	27.17	120.4	86	10.23	163	93	7.34	10.6	3	2.86	2	0
GA	50	408	377-1218	0	1	24	214.3	129	36.43	289.8	55	24.63	312.5	130	14.06	10.6	4	2.86	1	0
MO	179	510	355-2464	0	0	0	287.3	123	48.84	288	114	24.48	266	112	11.97	10.5	4	2.84	0	1
MO	152	408	404-4611	0	0	0	101.2	122	17.2	141.6	87	12.04	198.5	124	8.93	7.5	3	2.03	2	0
WY	105	415	373-2339	0	0	0	102.8	74	17.48	281.7	125	23.94	228.1	113	10.26	13.2	5	3.56	2	0
PA	52	408	410-4739	0	0	0	215.9	67	36.7	217	108	18.45	342.8	130	15.43	5.2	2	1.4	1	0
TX	125	415	365-3562	0	0	0	203.4	110	34.58	128.7	97	10.94	190.5	113	8.57	11	4	2.97	1	0
RI	65	415	385-9744	0	0	0	111	51	18.87	219.8	84	18.68	202	89	9.09	4.4	14	1.19	1	0
MS	1	415	408-3977	0	0	0	144.8	107	24.62	112.5	66	9.56	218.7	79	9.84	13.8	3	3.73	1	0
KY	60	408	334-2729	0	0	0	135.4	134	23.02	205.9	85	17.5	204	103	9.18	7.9	4	2.13	1	0
NC	43	415	334-7685	0	0	0	84.2	134	14.31	80.8	103	6.87	196.1	79	8.82	10.8	2	2.92	1	0
NV	143	415	350-9228	0	0	0	209.1	127	35.55	106.1	80	9.02	179.6	90	8.08	14	6	3.78	0	0
UT	81	415	407-5774	0	1	24	130.1	117	22.12	196	61	16.66	139.3	123	6.27	11.4	5	3.08	0	0
ME	205	510	413-4039	0	1	24	175.8	139	29.89	155	98	13.18	180.7	64	8.13	7.8	5	2.11	2	0
HI	24	415	343-2077	0	0	0	241.9	104	41.12	145.2	112	12.34	214.5	105	9.65	6.6	5	1.78	1	0
OH	74	415	336-5661	0	0	0	136.7	106	23.24	228.6	105	19.43	265.3	114	11.94	9.8	4	2.65	0	0
WV	77	510	355-4143	0	0	0	67.7	68	11.51	195.7	86	16.63	236.5	137	10.64	12	2	3.24	1	0
OK	74	415	366-5918	0	0	0	200.4	87	34.07	309.2	105	26.28	152.1	118	6.84	10	2	2.7	1	0
KY	74	510	368-7555	1	0	0	125.8	103	21.39	207.7	96	17.65	207.4	143	9.33	14.1	4	3.81	1	1
AL	200	408	408-2119	0	0	0	128.2	87	21.79	133.2	105	11.32	177.6	123	7.99	11.2	2	3.02	1	0
MD	86	408	329-2789	0	0	0	226.3	88	38.47	223	107	18.96	255.6	92	11.5	13	3	3.51	4	0
DC	76	415	337-1506	0	0	0	224.4	121	38.15	147.9	97	12.57	183.8	74	8.27	6.7	2	1.81	2	0
TX	130	415	396-8400	0	0	0	120.5	127	20.49	189.7	52	16.12	270.1	107	12.15	14.3	2	3.86	1	0
OH	56	408	349-2654	0	0	0	91.1	90	15.49	179.3	115	15.24	300.7	89	13.53	11.9	8	3.21	2	0
DE	117	415	417-2716	0	0	0	168.8	137	28.7	241.4	107	20.52	204.8	106	9.22	15.5	4	4.19	0	0
VT	126	415	403-3229	0	0	0	226.2	88	38.45	140.3	114	11.93	208.9	110	9.4	6.4	2	1.73	0	0
OR	132	510	353-6056	0	0	0	191.9	107	32.62	206.9	127	17.59	272	88	12.24	12.6	2	3.4	1	0
NV	81	415	399-9802	0	1	28	167.9	147	28.54	190.7	105	16.21	193	103	8.69	9.2	6	2.48	4	1
NC	122	415	366-7069	0	0	0	180	88	30.6	145	77	12.33	233.7	120	10.52	11.5	6	3.11	2	0
NJ	46	408	332-5949	0	0	0	257.4	67	43.76	261.1	91	22.19	204.4	107	9.2	13.4	5	3.62	2	1
MN	150	415	393-6376	0	1	28	174.4	75	29.65	169.9	80	14.44	201.6	130	9.07	11	4	2.97	1	0
ID	99	408	354-7025	0	0	0	159.7	83	27.15	155.4	121	13.21	255.7	114	11.51	8.4	3	2.27	1	0
AK	108	415	330-5462	0	0	0	103	129	17.51	242.3	103	20.6	170.2	89	7.66	7.9	3	2.13	1	0
VT	101	415	407-2292	0	0	0	153.8	89	26.15	234	89	19.89	196.3	77	8.83	11.6	2	3.13	4	0
AK	132	415	345-9153	0	1	39	175.7	93	29.87	187.2	94	15.91	225.5	118	10.15	8.6	3	2.32	2	0
MS	114	415	389-6790	0	1	34	154.4	109	26.25	221.4	142	18.82	208.5	103	9.38	10.3	5	2.78	0	0
AR	77	415	408-3610	0	1	23	209.7	73	35.65	183.6	63	15.61	205.5	111	9.25	7.1	3	1.92	2	0
NV	144	415	375-8238	1	0	0	150	69	25.5	285.9	73	24.3	190.6	121	8.58	9.4	15	2.54	0	0
GA	58	408	389-9120	0	0	0	165.4	100	28.12	115.7	87	9.83	193.8	118	8.72	12.8	5	3.46	2	0
AR	5	415	380-2758	0	0	0	199.2	106	33.86	187.3	12	15.92	214	85	9.63	13.3	3	3.59	3	0
NJ	107	415	354-9062	0	0	0	212.1	95	36.06	150.1	88	12.76	219.8	111	9.89	7.7	2	2.08	3	0
NY	9	408	353-1941	0	1	31	193.8	130	32.95	202.6	98	17.22	191.2	102	8.6	13.3	2	3.59	1	0
AZ	73	415	328-1522	0	0	0	175.4	130	29.82	248.1	105	21.09	122.4	85	5.51	12.2	4	3.29	0	0
NM	122	408	370-9755	0	1	33	174.9	103	29.73	248.2	105	21.1	164.6	116	7.41	13.5	3	3.65	1	1
SC	93	415	372-4835	0	0	0	190.2	68	32.33	262.2	64	22.29	130	92	5.85	8.8	4	2.38	0	0
VT	85	415	334-6605	0	0	0	176.4	122	29.99	224.9	123	19.12	219.6	50	9.88	11.5	1	3.11	1	0
TN	59	415	399-5564	0	0	0	160.9	95	27.35	251.2	65	21.35	273.4	97	12.3	5	5	1.35	3	0
LA	87	415	392-2887	0	0	0	228.7	90	38.88	163	99	13.86	154.1	90	6.93	11.8	3	3.19	1	0
OH	137	408	328-2110	0	0	0	144	90	24.48	181.6	100	15.44	128.1	93	5.76	12.3	2	3.32	0	0
DE	129	510	332-6181	0	0	0	334.3	118	56.83	192.1	104	16.33	191	83	8.59	10.4	6	2.81	0	1
KY	104	415	330-5255	0	0	0	130.5	77	22.19	131.2	117	11.15	264.7	63	11.91	13	6	3.51	0	0
GA	93	408	413-5190	0	1	21	134.2	105	22.81	162.5	128	13.81	186.6	90	8.4	11.8	2	3.19	4	1
OR	161	415	353-7096	0	0	0	105.4	70	17.92	214.8	122	18.26	223.6	126	10.06	7.8	5	2.11	0	0
TX	50	510	395-6002	0	0	0	188.9	94	32.11	203.9	104	17.33	151.8	124	6.83	11.6	8	3.13	3	0
MO	103	408	372-9816	0	1	24	111.8	85	19.01	239.6	102	20.37	268.3	81	12.07	6.9	4	1.86	1	0
ND	84	415	400-7253	0	1	33	159.1	106	27.05	149.8	101	12.73	213.4	108	9.6	13	18	3.51	1	0
MN	92	510	344-7470	0	0	0	212.4	105	36.11	224.6	118	19.09	221.3	105	9.96	9	4	2.43	1	0
NV	77	415	378-8572	0	0	0	142.3	112	24.19	306.3	111	26.04	196.5	82	8.84	9.9	1	2.67	1	0
NY	64	415	345-9140	1	0	0	346.8	55	58.96	249.5	79	21.21	275.4	102	12.39	13.3	9	3.59	1	1
KS	110	415	369-8024	1	1	27	267.9	103	45.54	263.3	74	22.38	178.1	106	8.01	8.3	2	2.24	1	1
NV	178	408	359-4587	0	0	0	275.4	150	46.82	187.5	62	15.94	147.1	126	6.62	13.6	3	3.67	1	0
SC	38	415	375-5439	0	1	31	197.2	118	33.52	249.9	70	21.24	298.9	104	13.45	3.9	2	1.05	0	0
MI	50	415	361-3779	0	1	35	192.6	97	32.74	135.2	101	11.49	216.2	101	9.73	7.9	2	2.13	2	0
MI	45	510	375-8934	0	1	26	91.7	104	15.59	150.6	119	12.8	63.3	103	2.85	7.7	5	2.08	1	0
NY	147	510	421-7205	0	1	33	251.5	107	42.76	234.1	110	19.9	213.4	87	9.6	10.4	6	2.81	3	0
ND	59	510	351-4226	0	0	0	179.4	80	30.5	232.5	99	19.76	175.8	105	7.91	14.7	3	3.97	0	0
NC	165	415	330-6630	0	0	0	207.7	109	35.31	164.8	94	14.01	54.5	91	2.45	7.9	3	2.13	0	0
MI	133	408	387-9137	0	0	0	277.3	138	47.14	228.4	117	19.41	117.3	103	5.28	12.8	4	3.46	2	1
OK	52	510	412-9357	0	1	38	169.3	88	28.78	225.9	97	19.2	172	86	7.74	8.2	3	2.21	0	0
DE	64	415	402-3599	0	1	27	201.3	101	34.22	143.8	89	12.22	150.2	127	6.76	12.3	3	3.32	1	0
OR	48	415	405-9217	0	0	0	190.4	92	32.37	317.5	85	26.99	133.4	113	6	8.3	4	2.24	2	0
MO	168	415	339-9026	0	1	42	97.4	57	16.56	203.6	98	17.31	173.9	124	7.83	11.4	2	3.08	2	0
FL	155	415	343-4772	0	0	0	181.4	111	30.84	167.7	92	14.25	168.5	122	7.58	11.3	3	3.05	3	0
NY	11	415	401-4650	0	0	0	143.4	130	24.38	289.4	50	24.6	194	100	8.73	9.7	6	2.62	2	0
ND	182	415	400-3945	0	0	0	104.9	111	17.83	198.5	120	16.87	258.2	91	11.62	8	5	2.16	2	0
SC	41	415	332-1060	0	0	0	143.6	117	24.41	152.4	108	12.95	194.4	110	8.75	8.6	3	2.32	1	0
GA	132	415	418-3426	0	0	0	176.7	132	30.04	244.1	80	20.75	176.3	120	7.93	9.1	4	2.46	2	0
AK	146	510	383-6544	1	0	0	133	65	22.61	262.8	93	22.34	214.3	128	9.64	11.2	3	3.02	1	0
KS	70	415	369-9465	0	0	0	222.8	114	37.88	215.9	113	18.35	223.5	122	10.06	0	0	0	1	0
MN	116	510	337-3769	0	0	0	201.8	82	34.31	231.5	95	19.68	226.1	130	10.17	16.5	5	4.46	0	0
VA	99	415	400-6257	0	1	42	216	125	36.72	232.3	104	19.75	215.5	100	9.7	9.3	4	2.51	2	1
UT	87	415	411-6663	0	0	0	146.3	108	24.87	171.8	102	14.6	167.5	66	7.54	5.3	9	1.43	1	0
IN	87	510	384-3101	0	0	0	234.8	85	39.92	140.9	91	11.98	204.3	93	9.19	9.5	5	2.57	1	0
CT	70	408	339-5329	0	0	0	198.6	111	33.76	213.9	115	18.18	171.2	105	7.7	10.6	6	2.86	2	0
VT	119	510	403-1769	0	0	0	190.4	74	32.37	215.6	113	18.33	161.2	111	7.25	10	1	2.7	2	0
RI	87	510	421-7214	1	0	0	134.2	80	22.81	165	71	14.03	173.1	102	7.79	10.7	5	2.89	0	0
CA	112	415	338-6962	0	0	0	111.9	92	19.02	114	143	9.69	146.8	79	6.61	14.1	3	3.81	5	1
CT	150	510	411-8549	0	0	0	189.3	77	32.18	220.9	105	18.78	238.7	117	10.74	9.2	5	2.48	4	0
IN	161	510	381-9234	0	1	38	240.4	112	40.87	201.8	102	17.15	206.1	112	9.27	16.1	6	4.35	0	0
NY	94	510	417-3046	1	0	0	243.2	109	41.34	147	88	12.5	94.9	99	4.27	7.2	4	1.94	4	0
NV	102	415	373-5196	0	0	0	144.4	87	24.55	266.5	128	22.65	217.6	59	9.79	7.1	7	1.92	0	0
OK	79	510	381-4565	0	0	0	147	72	24.99	165.7	102	14.08	243.2	107	10.94	8.4	9	2.27	1	0
NC	103	415	396-4845	0	0	0	263.4	118	44.78	179.1	69	15.22	214.7	112	9.66	10.3	2	2.78	0	0
OR	161	415	362-4685	0	0	0	178.1	109	30.28	146.5	86	12.45	137.6	78	6.19	8.5	2	2.3	1	0
KS	67	408	383-1431	0	0	0	201.4	101	34.24	97.6	122	8.3	202.5	119	9.11	7	3	1.89	0	0
GA	92	510	375-8304	0	0	0	208	125	35.36	198.9	76	16.91	76.4	97	3.44	8.6	6	2.32	0	0
NM	174	415	340-5580	0	0	0	239.2	72	40.66	188.5	124	16.02	105.6	116	4.75	8.8	3	2.38	1	0
OH	124	510	362-1490	0	0	0	193	97	32.81	89.8	99	7.63	172.8	104	7.78	15.3	3	4.13	1	0
ND	132	415	336-4281	0	1	31	174.5	101	29.67	245.6	105	20.88	172.8	76	7.78	10.3	9	2.78	1	0
RI	190	415	361-1315	0	1	26	116.7	71	19.84	145.9	88	12.4	175.1	103	7.88	9.9	3	2.67	1	0
HI	101	510	342-5906	0	0	0	93.8	127	15.95	150	104	12.75	241.1	116	10.85	10.7	2	2.89	1	0
WY	185	415	405-7904	1	1	30	154.1	114	26.2	118.7	106	10.09	258.4	105	11.63	12.9	3	3.48	2	0
NY	68	415	349-4762	0	1	29	239.5	82	40.72	203.8	105	17.32	167.8	70	7.55	9.9	6	2.67	0	0
PA	124	415	396-6775	0	0	0	167.4	119	28.46	233.2	143	19.82	109.6	115	4.93	10.3	5	2.78	0	0
MN	75	415	379-7779	0	0	0	143.2	92	24.34	209.1	142	17.77	173	96	7.79	11.9	9	3.21	1	0
PA	134	408	408-8650	0	0	0	205.3	122	34.9	240.5	155	20.44	179.1	107	8.06	5	9	1.35	1	0
MO	164	408	400-3497	0	1	25	219.1	88	37.25	151.5	99	12.88	50.1	60	2.25	14.3	6	3.86	1	0
ME	177	415	406-8809	0	0	0	232.8	106	39.58	175.2	97	14.89	212.2	77	9.55	12.5	7	3.38	2	0
WY	53	415	337-4339	0	1	27	25.9	119	4.4	206.5	96	17.55	228.1	64	10.26	6.5	7	1.76	1	0
NC	64	408	387-7757	0	1	19	291.1	150	49.49	226.7	123	19.27	219.1	67	9.86	7.5	2	2.03	1	0
KY	111	415	376-9513	0	0	0	255.9	97	43.5	204.1	129	17.35	171.3	84	7.71	12.3	5	3.32	3	0
NJ	113	408	421-7270	0	0	0	132.1	72	22.46	247.5	107	21.04	246.2	123	11.08	6.9	6	1.86	3	0
FL	109	408	371-9482	0	0	0	217	115	36.89	207	142	17.6	268	106	12.06	8.2	4	2.21	1	0
IN	105	510	337-4101	0	1	42	101.9	79	17.32	223.1	97	18.96	241.6	77	10.87	12.9	2	3.48	0	0
AL	131	510	366-4225	0	0	0	153.4	86	26.08	198.5	81	16.87	164.4	83	7.4	10.4	3	2.81	0	0
ME	59	510	398-4567	0	0	0	166.3	95	28.27	239.3	87	20.34	123.2	108	5.54	10	3	2.7	2	0
VA	210	408	360-8666	0	0	0	104.6	121	17.78	149.5	71	12.71	255.1	67	11.48	6.5	8	1.76	2	0
ID	106	510	383-2566	0	0	0	274.4	120	46.65	198.6	82	16.88	160.8	62	7.24	6	3	1.62	1	0
WI	116	415	364-2439	0	1	35	200.4	104	34.07	272.8	89	23.19	214.5	100	9.65	8.3	4	2.24	1	0
WV	30	510	411-8043	0	0	0	162.3	96	27.59	244	122	20.74	180.1	89	8.1	9.1	4	2.46	2	0
AL	72	415	343-4806	0	0	0	217.8	93	37.03	189.7	113	16.12	182.6	91	8.22	10.4	5	2.81	4	0
NJ	135	510	401-8735	0	1	28	201.4	100	34.24	246.5	117	20.95	154.8	131	6.97	12.9	4	3.48	2	1
NC	86	510	391-8626	0	0	0	190.5	115	32.39	179.6	130	15.27	258.5	89	11.63	10.1	5	2.73	3	0
DE	98	415	327-5817	0	1	29	179.9	97	30.58	189.2	89	16.08	164.3	76	7.39	12.8	7	3.46	3	0
ID	118	415	335-3320	0	0	0	140.4	112	23.87	187.1	60	15.9	207.9	155	9.36	7.9	1	2.13	0	0
MO	55	510	362-1146	0	0	0	189	100	32.13	118.5	99	10.07	248.1	87	11.16	17.1	6	4.62	0	0
OH	98	408	368-1288	0	0	0	165	129	28.05	202.6	113	17.22	172.3	94	7.75	12.5	7	3.38	1	1
IL	130	415	403-5279	0	0	0	155.9	95	26.5	256.1	97	21.77	262.9	103	11.83	11.7	3	3.16	3	0
FL	136	408	397-9333	1	0	0	199.2	122	33.86	214.7	114	18.25	150.9	105	6.79	11.8	7	3.19	1	0
MA	47	415	411-7353	0	0	0	155.3	116	26.4	188.2	85	16	247	73	11.12	12.3	4	3.32	3	0
OK	189	415	383-2537	0	0	0	208.3	106	35.41	236.7	123	20.12	179.1	120	8.06	11.3	5	3.05	3	0
MI	91	415	390-7930	0	0	0	154.4	165	26.25	168.3	121	14.31	239.9	81	10.8	11.7	4	3.16	5	1
VA	11	408	358-6796	0	1	24	131.5	98	22.36	230.2	111	19.57	283.7	87	12.77	10	3	2.7	2	0
NY	167	415	409-7494	0	0	0	166.4	85	28.29	243.2	135	20.67	229.2	95	10.31	9.9	5	2.67	1	0
MT	111	408	400-1636	0	0	0	142.3	75	24.19	122.8	106	10.44	229.5	94	10.33	12.8	9	3.46	2	0
VT	99	408	389-2747	0	1	19	87.7	103	14.91	223	86	18.96	182.3	112	8.2	7.3	4	1.97	2	0
AL	71	415	362-7835	0	0	0	103.3	103	17.56	138.5	79	11.77	164.8	98	7.42	9	2	2.43	2	0
PA	122	415	361-5225	0	0	0	35.1	62	5.97	180.8	89	15.37	251.6	58	11.32	12.7	2	3.43	1	0
WV	83	415	341-3044	0	1	37	78.5	109	13.35	210.5	101	17.89	179.7	102	8.09	11.8	4	3.19	1	0
NV	64	408	350-7306	0	0	0	148.1	73	25.18	164.9	101	14.02	216	125	9.72	12.3	2	3.32	5	1
WY	106	415	338-6018	1	1	26	270.3	111	45.95	215.2	90	18.29	254	133	11.43	14.4	7	3.89	1	1
